"Substate Region","State","Small Area Estimate","95% CI (Lower)","95% CI (Upper)","County"
"Central","Iowa","19.21%","15.94%","22.97%","Jasper"
"Central","Iowa","19.21%","15.94%","22.97%","Marion"
"Central","Iowa","19.21%","15.94%","22.97%","Polk "
"Central","Iowa","19.21%","15.94%","22.97%","Warren "
"North Central","Iowa","19.56%","16.12%","23.54%","Boone"
"North Central","Iowa","19.56%","16.12%","23.54%","Cerro Gordo"
"North Central","Iowa","19.56%","16.12%","23.54%","Floyd"
"North Central","Iowa","19.56%","16.12%","23.54%","Franklin"
"North Central","Iowa","19.56%","16.12%","23.54%","Hancock"
"North Central","Iowa","19.56%","16.12%","23.54%","Hardin"
"North Central","Iowa","19.56%","16.12%","23.54%","Kossuth"
"North Central","Iowa","19.56%","16.12%","23.54%","Marshall"
"North Central","Iowa","19.56%","16.12%","23.54%","Mitchell"
"North Central","Iowa","19.56%","16.12%","23.54%","Poweshiek"
"North Central","Iowa","19.56%","16.12%","23.54%","Story"
"North Central","Iowa","19.56%","16.12%","23.54%","Tama"
"North Central","Iowa","19.56%","16.12%","23.54%","Winnebago"
"North Central","Iowa","19.56%","16.12%","23.54%","Worth"
"Northeast","Iowa","20.93%","17.48%","24.86%","Allamakee"
"Northeast","Iowa","20.93%","17.48%","24.86%","Benton"
"Northeast","Iowa","20.93%","17.48%","24.86%","Black Hawk"
"Northeast","Iowa","20.93%","17.48%","24.86%","Bremer"
"Northeast","Iowa","20.93%","17.48%","24.86%","Buchanan"
"Northeast","Iowa","20.93%","17.48%","24.86%","Butler"
"Northeast","Iowa","20.93%","17.48%","24.86%","Chickasaw"
"Northeast","Iowa","20.93%","17.48%","24.86%","Clayton"
"Northeast","Iowa","20.93%","17.48%","24.86%","Clinton"
"Northeast","Iowa","20.93%","17.48%","24.86%","Delaware"
"Northeast","Iowa","20.93%","17.48%","24.86%","Dubuque"
"Northeast","Iowa","20.93%","17.48%","24.86%","Fayette"
"Northeast","Iowa","20.93%","17.48%","24.86%","Grundy"
"Northeast","Iowa","20.93%","17.48%","24.86%","Howard"
"Northeast","Iowa","20.93%","17.48%","24.86%","Jackson"
"Northeast","Iowa","20.93%","17.48%","24.86%","Jones"
"Northeast","Iowa","20.93%","17.48%","24.86%","Linn"
"Northeast","Iowa","20.93%","17.48%","24.86%","Winneshiek"
"Northwest","Iowa","18.23%","14.96%","22.03%","Audubon"
"Northwest","Iowa","18.23%","14.96%","22.03%","Buena Vista"
"Northwest","Iowa","18.23%","14.96%","22.03%","Calhoun"
"Northwest","Iowa","18.23%","14.96%","22.03%","Carroll"
"Northwest","Iowa","18.23%","14.96%","22.03%","Cherokee"
"Northwest","Iowa","18.23%","14.96%","22.03%","Clay"
"Northwest","Iowa","18.23%","14.96%","22.03%","Crawford"
"Northwest","Iowa","18.23%","14.96%","22.03%","Dickinson"
"Northwest","Iowa","18.23%","14.96%","22.03%","Emmet"
"Northwest","Iowa","18.23%","14.96%","22.03%","Greene"
"Northwest","Iowa","18.23%","14.96%","22.03%","Guthrie"
"Northwest","Iowa","18.23%","14.96%","22.03%","Hamilton"
"Northwest","Iowa","18.23%","14.96%","22.03%","Humboldt"
"Northwest","Iowa","18.23%","14.96%","22.03%","Ida"
"Northwest","Iowa","18.23%","14.96%","22.03%","Lyon"
"Northwest","Iowa","18.23%","14.96%","22.03%","Monona"
"Northwest","Iowa","18.23%","14.96%","22.03%","O'Brien"
"Northwest","Iowa","18.23%","14.96%","22.03%","Osceola"
"Northwest","Iowa","18.23%","14.96%","22.03%","Palo Alto"
"Northwest","Iowa","18.23%","14.96%","22.03%","Plymouth"
"Northwest","Iowa","18.23%","14.96%","22.03%","Pocahontas"
"Northwest","Iowa","18.23%","14.96%","22.03%","Sac"
"Northwest","Iowa","18.23%","14.96%","22.03%","Shelby"
"Northwest","Iowa","18.23%","14.96%","22.03%","Sioux"
"Northwest","Iowa","18.23%","14.96%","22.03%","Webster"
"Northwest","Iowa","18.23%","14.96%","22.03%","Woodbury"
"Northwest","Iowa","18.23%","14.96%","22.03%","Wright"
"Southeast","Iowa","22.52%","18.83%","26.69%","Appanoose"
"Southeast","Iowa","22.52%","18.83%","26.69%","Cedar"
"Southeast","Iowa","22.52%","18.83%","26.69%","Davis"
"Southeast","Iowa","22.52%","18.83%","26.69%","Des Moines"
"Southeast","Iowa","22.52%","18.83%","26.69%","Henry"
"Southeast","Iowa","22.52%","18.83%","26.69%","Iowa"
"Southeast","Iowa","22.52%","18.83%","26.69%","Jefferson"
"Southeast","Iowa","22.52%","18.83%","26.69%","Johnson"
"Southeast","Iowa","22.52%","18.83%","26.69%","Keokuk"
"Southeast","Iowa","22.52%","18.83%","26.69%","Lee"
"Southeast","Iowa","22.52%","18.83%","26.69%","Louisa"
"Southeast","Iowa","22.52%","18.83%","26.69%","Lucas"
"Southeast","Iowa","22.52%","18.83%","26.69%","Mahaska"
"Southeast","Iowa","22.52%","18.83%","26.69%","Monroe"
"Southeast","Iowa","22.52%","18.83%","26.69%","Muscatine"
"Southeast","Iowa","22.52%","18.83%","26.69%","Scott"
"Southeast","Iowa","22.52%","18.83%","26.69%","Van Buren"
"Southeast","Iowa","22.52%","18.83%","26.69%","Wapello"
"Southeast","Iowa","22.52%","18.83%","26.69%","Washington"
"Southeast","Iowa","22.52%","18.83%","26.69%","Wayne"
"Southwest","Iowa","21.17%","17.41%","25.50%","Adair"
"Southwest","Iowa","21.17%","17.41%","25.50%","Adams"
"Southwest","Iowa","21.17%","17.41%","25.50%","Cass"
"Southwest","Iowa","21.17%","17.41%","25.50%","Clarke"
"Southwest","Iowa","21.17%","17.41%","25.50%","Dallas"
"Southwest","Iowa","21.17%","17.41%","25.50%","Decatur"
"Southwest","Iowa","21.17%","17.41%","25.50%","Fremont"
"Southwest","Iowa","21.17%","17.41%","25.50%","Harrison"
"Southwest","Iowa","21.17%","17.41%","25.50%","Madison"
"Southwest","Iowa","21.17%","17.41%","25.50%","Mills"
"Southwest","Iowa","21.17%","17.41%","25.50%","Montgomery"
"Southwest","Iowa","21.17%","17.41%","25.50%","Page"
"Southwest","Iowa","21.17%","17.41%","25.50%","Pottawattamie"
"Southwest","Iowa","21.17%","17.41%","25.50%","Ringgold"
"Southwest","Iowa","21.17%","17.41%","25.50%","Taylor"
"Southwest","Iowa","21.17%","17.41%","25.50%","Union"
