State,Substate Region,Small Area Estimate,95% CI (Lower),95% CI (Upper),Map Group
Total U.S.,Total U.S.,5.15%,4.96%,5.35%,1
Northeast,Northeast,4.71%,4.40%,5.05%,2
Midwest,Midwest,5.70%,5.40%,6.01%,2
South,South,4.97%,4.71%,5.24%,2
West,West,5.29%,4.95%,5.64%,2
Alabama,Alabama,5.87%,4.86%,7.07%,3
Alabama,Region 1,6.53%,4.94%,8.59%,4
Alabama,Region 2,5.66%,4.31%,7.40%,4
Alabama,Region 3,5.38%,4.06%,7.09%,4
Alabama,Region 4,5.71%,4.32%,7.50%,4
Alaska,Alaska,5.73%,4.83%,6.78%,3
Alaska,Anchorage,5.88%,4.62%,7.45%,4
Alaska,Northern,6.12%,4.85%,7.68%,5
Alaska,Fairbanks North Star,7.28%,5.50%,9.59%,4
Alaska,"Northern, Interior, and Western",4.38%,3.22%,5.94%,4
Alaska,South Central,5.39%,4.29%,6.74%,5
Alaska,"Aleutians, Gulf Coast, and Kenai Peninsula",4.90%,3.63%,6.58%,4
Alaska,Mat-Su,5.86%,4.44%,7.70%,4
Alaska,Southeast,5.25%,4.04%,6.81%,5
Alaska,Northern Southeast,5.34%,3.93%,7.20%,4
Alaska,Southern Southeast,5.03%,3.69%,6.83%,4
Arizona,Arizona,6.25%,5.26%,7.41%,3
Arizona,Central,6.39%,5.18%,7.85%,4
Arizona,North,5.91%,4.50%,7.74%,4
Arizona,South,6.09%,4.83%,7.65%,5
Arizona,South A,6.53%,4.93%,8.59%,4
Arizona,South B,5.57%,4.14%,7.46%,4
Arkansas,Arkansas,6.87%,5.75%,8.19%,3
Arkansas,Catchment Area 1,7.76%,5.91%,10.13%,4
Arkansas,Catchment Areas 2 and 5,7.10%,5.39%,9.30%,4
Arkansas,Catchment Area 3,7.05%,5.30%,9.32%,4
Arkansas,Catchment Area 4,6.37%,4.72%,8.54%,4
Arkansas,Catchment Area 6,5.56%,4.04%,7.60%,4
Arkansas,Catchment Area 7,6.20%,4.55%,8.39%,4
Arkansas,Catchment Area 8,6.40%,4.81%,8.46%,4
California,California,4.52%,4.05%,5.04%,3
California,Region 1R,6.23%,4.80%,8.05%,4
California,Region 2R,5.36%,4.09%,7.01%,4
California,Region 3R (Sacramento),5.11%,3.92%,6.63%,4
California,Region 4R,4.68%,3.53%,6.18%,4
California,Region 5R (San Francisco),5.65%,4.26%,7.46%,4
California,Region 6 (Santa Clara),3.84%,2.97%,4.94%,4
California,Region 7R (Contra Costa),4.12%,3.13%,5.42%,4
California,Region 8R (Alameda),4.18%,3.20%,5.45%,4
California,Region 9R (San Mateo),4.21%,3.21%,5.50%,4
California,Region 10,4.35%,3.25%,5.79%,4
California,Region 11 (Los Angeles),4.14%,3.60%,4.76%,5
California,LA SPA 1 and 5,4.56%,3.49%,5.94%,4
California,LA SPA 2,4.19%,3.25%,5.40%,4
California,LA SPA 3,3.61%,2.74%,4.74%,4
California,LA SPA 4,4.30%,3.24%,5.68%,4
California,LA SPA 6,4.27%,3.20%,5.67%,4
California,LA SPA 7,3.86%,2.93%,5.06%,4
California,LA SPA 8,4.41%,3.37%,5.74%,4
California,Region 12R,4.75%,3.57%,6.29%,4
California,Regions 13 and 19R,4.89%,3.78%,6.31%,4
California,Region 14 (Orange),4.25%,3.34%,5.41%,4
California,Region 15R (Fresno),4.83%,3.72%,6.25%,4
California,Region 16R (San Diego),4.83%,3.78%,6.14%,4
California,Region 17R,4.68%,3.61%,6.03%,4
California,Region 18R (San Bernardino),4.35%,3.34%,5.65%,4
California,Region 20R,5.02%,3.83%,6.55%,4
California,Region 21R,4.39%,3.36%,5.72%,4
Colorado,Colorado,5.63%,4.79%,6.59%,3
Colorado,Region 1,5.91%,4.56%,7.62%,4
Colorado,Region 2,5.84%,4.38%,7.75%,4
Colorado,Region 3,5.12%,3.93%,6.64%,4
Colorado,Region 4,5.04%,3.74%,6.76%,4
Colorado,Region 5,6.74%,5.16%,8.77%,4
Colorado,Region 6,5.50%,4.20%,7.18%,4
Colorado,Region 7,5.47%,4.16%,7.17%,4
Connecticut,Connecticut,4.65%,3.87%,5.60%,3
Connecticut,Eastern,5.03%,3.70%,6.80%,4
Connecticut,North Central,4.99%,3.79%,6.54%,4
Connecticut,Northwestern,4.45%,3.33%,5.93%,4
Connecticut,South Central,5.11%,3.92%,6.66%,4
Connecticut,Southwest,3.54%,2.59%,4.82%,4
Delaware,Delaware,5.65%,4.69%,6.80%,3
Delaware,Kent,7.05%,5.33%,9.28%,4
Delaware,New Castle (excluding Wilmington City),5.54%,4.37%,7.00%,4
Delaware,Sussex,4.84%,3.58%,6.50%,4
Delaware,Wilmington City,5.66%,4.14%,7.68%,4
District of Columbia,District of Columbia,5.16%,4.27%,6.23%,3
District of Columbia,Ward 1,5.75%,4.23%,7.76%,4
District of Columbia,Ward 2,6.71%,4.90%,9.15%,4
District of Columbia,Ward 3,5.66%,4.16%,7.64%,4
District of Columbia,Ward 4,4.13%,3.00%,5.66%,4
District of Columbia,Ward 5,4.22%,3.11%,5.71%,4
District of Columbia,Ward 6,6.00%,4.43%,8.09%,4
District of Columbia,Ward 7,3.84%,2.73%,5.36%,4
District of Columbia,Ward 8,4.09%,2.92%,5.71%,4
Florida,Florida,4.67%,4.12%,5.30%,3
Florida,Broward (Circuit 17),3.34%,2.51%,4.45%,4
Florida,Central I,4.91%,4.06%,5.94%,5
Florida,Circuit 9,4.97%,3.89%,6.32%,4
Florida,Circuit 18,4.83%,3.67%,6.34%,4
Florida,Central II,5.00%,4.24%,5.89%,5
Florida,Circuit 6,5.11%,3.89%,6.69%,4
Florida,Circuit 10,5.95%,4.42%,7.96%,4
Florida,Circuit 12,4.57%,3.42%,6.09%,4
Florida,Circuit 13 (Hillsborough),5.10%,3.95%,6.56%,4
Florida,Circuit 20,4.51%,3.38%,5.99%,4
Florida,Northeast,5.54%,4.67%,6.57%,5
Florida,Circuit 4,6.20%,4.65%,8.23%,4
Florida,Circuit 5,5.35%,4.10%,6.95%,4
Florida,Circuit 7,4.84%,3.64%,6.40%,4
Florida,"Circuit 8 plus Columbia, Dixie, Hamilton, Lafayette, and Suwannee",5.79%,4.42%,7.56%,4
Florida,Northwest,6.06%,5.00%,7.32%,5
Florida,Circuit 1,6.75%,5.15%,8.81%,4
Florida,Circuit 2 plus Madison and Taylor,4.99%,3.78%,6.57%,4
Florida,Circuit 14,5.91%,4.36%,7.97%,4
Florida,South (Circuits 11 and 16),3.01%,2.27%,3.98%,4
Florida,Southeast,4.26%,3.38%,5.36%,5
Florida,Circuit 15 (Palm Beach),4.12%,3.07%,5.50%,4
Florida,Circuit 19,4.57%,3.35%,6.20%,4
Georgia,Georgia,4.46%,3.78%,5.26%,3
Georgia,Region 1,5.00%,3.86%,6.46%,4
Georgia,Region 2,5.23%,3.90%,6.96%,4
Georgia,Region 3,3.56%,2.75%,4.58%,4
Georgia,Region 4,4.85%,3.57%,6.56%,4
Georgia,Region 5,4.86%,3.64%,6.48%,4
Georgia,Region 6,4.23%,3.19%,5.60%,4
Hawaii,Hawaii,4.63%,3.78%,5.67%,3
Hawaii,Hawaii Island,4.08%,2.98%,5.55%,4
Hawaii,Honolulu,4.89%,3.85%,6.19%,4
Hawaii,Kauai,3.72%,2.71%,5.10%,4
Hawaii,Maui,4.16%,3.07%,5.62%,4
Idaho,Idaho,5.93%,5.05%,6.97%,3
Idaho,Region 1,5.60%,4.17%,7.49%,4
Idaho,Region 2,6.49%,4.79%,8.73%,4
Idaho,Region 3,5.95%,4.55%,7.73%,4
Idaho,Region 4,6.27%,4.91%,7.97%,4
Idaho,Region 5,5.24%,3.86%,7.08%,4
Idaho,Region 6,5.64%,4.22%,7.48%,4
Idaho,Region 7,5.96%,4.63%,7.66%,4
Illinois,Illinois,4.98%,4.38%,5.65%,3
Illinois,Region 1 (Cook),4.68%,3.97%,5.50%,5
Illinois,Region 1.1 (Far North Side),5.53%,4.17%,7.29%,4
