State,Substate Region,Small Area Estimate,95% CI (Lower),95% CI (Upper),Map Group
Total U.S.,Total U.S.,20.24%,19.88%,20.60%,1
Northeast,Northeast,19.51%,18.76%,20.27%,2
Midwest,Midwest,21.50%,20.88%,22.13%,2
South,South,18.96%,18.42%,19.51%,2
West,West,21.70%,20.95%,22.48%,2
Alabama,Alabama,21.09%,18.80%,23.57%,3
Alabama,Region 1,22.23%,18.60%,26.33%,4
Alabama,Region 2,21.44%,18.05%,25.27%,4
Alabama,Region 3,19.54%,16.11%,23.49%,4
Alabama,Region 4,20.34%,16.92%,24.25%,4
Alaska,Alaska,21.93%,19.79%,24.22%,3
Alaska,Anchorage,21.74%,18.86%,24.93%,4
Alaska,Northern,20.87%,17.81%,24.29%,5
Alaska,Fairbanks North Star,23.28%,19.27%,27.82%,4
Alaska,"Northern, Interior, and Western",17.28%,13.77%,21.47%,4
Alaska,South Central,22.83%,19.70%,26.30%,5
Alaska,"Aleutians, Gulf Coast, and Kenai Peninsula",21.78%,17.77%,26.41%,4
Alaska,Mat-Su,23.85%,19.94%,28.25%,4
Alaska,Southeast,22.39%,18.80%,26.44%,5
Alaska,Northern Southeast,22.58%,18.36%,27.45%,4
Alaska,Southern Southeast,21.88%,17.54%,26.95%,4
Arizona,Arizona,23.23%,20.86%,25.78%,3
Arizona,Central,23.90%,20.97%,27.10%,4
Arizona,North,22.34%,18.25%,27.06%,4
Arizona,South,22.11%,18.86%,25.74%,5
Arizona,South A,23.07%,18.95%,27.77%,4
Arizona,South B,20.97%,17.02%,25.56%,4
Arkansas,Arkansas,21.19%,18.98%,23.58%,3
Arkansas,Catchment Area 1,21.58%,18.09%,25.53%,4
Arkansas,Catchment Areas 2 and 5,21.58%,17.91%,25.75%,4
Arkansas,Catchment Area 3,21.03%,17.39%,25.20%,4
Arkansas,Catchment Area 4,21.93%,18.03%,26.39%,4
Arkansas,Catchment Area 6,19.70%,15.80%,24.28%,4
Arkansas,Catchment Area 7,22.04%,17.93%,26.78%,4
Arkansas,Catchment Area 8,20.46%,16.95%,24.48%,4
California,California,19.75%,18.62%,20.93%,3
California,Region 1R,23.83%,20.16%,27.93%,4
California,Region 2R,20.64%,17.13%,24.66%,4
California,Region 3R (Sacramento),21.11%,17.90%,24.73%,4
California,Region 4R,21.44%,17.84%,25.53%,4
